seq,llatitude,longitude,llatitude_utm,longitude_utm,option
135396,37.23965631,126.7736361,302516.9182,4123781.294,0
135417,37.23965414,126.7736412,302517.3636,4123781.043,0
135437,37.23965198,126.7736463,302517.8079,4123780.792,0
135450,37.23964972,126.7736516,302518.2716,4123780.531,0
135459,37.2396476,126.7736565,302518.7088,4123780.285,0
135466,37.2396454,126.7736617,302519.164,4123780.031,0
135473,37.23964303,126.7736674,302519.656,4123779.756,0
135480,37.23964071,126.7736729,302520.1386,4123779.487,0
135487,37.23963825,126.7736787,302520.652,4123779.201,0
135493,37.23963572,126.7736847,302521.1795,4123778.908,0
135498,37.23963347,126.7736901,302521.6512,4123778.647,0
135503,37.23963087,126.7736963,302522.1952,4123778.346,0
135508,37.23962848,126.773702,302522.6931,4123778.069,0
135512,37.23962635,126.7737071,302523.1383,4123777.822,0
135517,37.23962387,126.773713,302523.6564,4123777.534,0
135522,37.23962138,126.773719,302524.1789,4123777.246,0
135527,37.23961914,126.7737243,302524.6486,4123776.986,0
135532,37.23961634,126.7737311,302525.2375,4123776.66,0
135536,37.23961415,126.7737363,302525.6958,4123776.407,0
135540,37.23961184,126.7737418,302526.1803,4123776.139,0
135544,37.23960964,126.7737471,302526.6417,4123775.884,0
135548,37.23960719,126.773753,302527.1562,4123775.6,0
135552,37.23960476,126.7737588,302527.6659,4123775.318,0
135556,37.23960222,126.7737648,302528.197,4123775.023,0
135561,37.2395998,126.7737706,302528.7012,4123774.743,0
135566,37.23959722,126.7737767,302529.239,4123774.444,0
135572,37.23959454,126.7737831,302529.7962,4123774.133,0
135578,37.23959243,126.7737881,302530.2368,4123773.888,0
135584,37.23959027,126.7737935,302530.7132,4123773.638,0
135590,37.23958815,126.7737989,302531.1844,4123773.392,0
135597,37.23958609,126.7738047,302531.6945,4123773.15,0
135603,37.23958438,126.77381,302532.1583,4123772.95,0
135610,37.23958238,126.7738166,302532.7348,4123772.715,0
135616,37.23958062,126.7738224,302533.2445,4123772.507,0
135622,37.23957909,126.7738277,302533.7139,4123772.326,0
135629,37.23957742,126.773834,302534.2653,4123772.127,10
135635,37.239576,126.7738395,302534.7522,4123771.958,10
135642,37.23957454,126.773846,302535.3274,4123771.783,10
135648,37.23957352,126.7738518,302535.8408,4123771.657,10
135655,37.23957274,126.7738585,302536.4312,4123771.557,10
135662,37.23957218,126.7738649,302536.992,4123771.481,10
135670,37.2395716,126.773871,302537.5326,4123771.405,10
135677,37.23957107,126.7738767,302538.0408,4123771.333,10
135684,37.23957048,126.7738833,302538.6229,4123771.255,10
135691,37.23957004,126.7738893,302539.1534,4123771.193,10
135698,37.23956972,126.7738954,302539.6968,4123771.145,10
135704,37.23956959,126.7739016,302540.2467,4123771.117,10
135711,37.23956965,126.7739084,302540.8482,4123771.11,10
135718,37.23956996,126.773915,302541.4316,4123771.131,10
135725,37.23957047,126.7739212,302541.9863,4123771.174,10
135731,37.23957135,126.7739268,302542.4843,4123771.26,10
135737,37.23957275,126.7739324,302542.9859,4123771.404,10
135744,37.23957436,126.7739377,302543.4572,4123771.572,10
135752,37.23957617,126.7739436,302543.9922,4123771.76,10
135761,37.2395778,126.7739491,302544.4783,4123771.929,10
135770,37.23957943,126.7739545,302544.9665,4123772.099,10
135779,37.23958122,126.7739601,302545.4648,4123772.286,10
135788,37.23958319,126.7739656,302545.9599,4123772.493,10
135795,37.23958517,126.7739709,302546.4316,4123772.702,10
135802,37.23958736,126.7739763,302546.9158,4123772.933,10
135809,37.23958954,126.7739815,302547.3823,4123773.165,10
135816,37.23959192,126.7739867,302547.8518,4123773.418,10
135823,37.23959448,126.7739921,302548.3367,4123773.69,10
135830,37.23959709,126.7739973,302548.8046,4123773.97,10
135836,37.23959957,126.774002,302549.2298,4123774.235,10
135842,37.23960212,126.7740067,302549.6544,4123774.508,10
135848,37.23960478,126.7740114,302550.0792,4123774.794,10
135854,37.23960751,126.7740161,302550.5014,4123775.086,10
135860,37.23961031,126.7740208,302550.9244,4123775.388,10
135866,37.23961313,126.7740254,302551.3381,4123775.69,10
135872,37.23961618,126.7740302,302551.7718,4123776.019,10
135879,37.23961961,126.7740348,302552.1965,4123776.389,10
135887,37.23962369,126.7740391,302552.5878,4123776.833,10
135894,37.23962737,126.7740425,302552.8965,4123777.235,10
135900,37.23963131,126.774046,302553.2129,4123777.665,10
135907,37.23963518,126.7740494,302553.5248,4123778.087,10
135914,37.23963924,126.7740529,302553.8477,4123778.53,10
135921,37.23964336,126.7740563,302554.1634,4123778.98,0
135928,37.23964792,126.77406,302554.5019,4123779.478,0
135935,37.23965217,126.7740635,302554.8195,4123779.943,0
135941,37.23965641,126.7740669,302555.1338,4123780.406,0
135947,37.23966094,126.7740703,302555.4484,4123780.902,0
135953,37.23966501,126.7740734,302555.7318,4123781.347,0
135959,37.23966933,126.7740766,302556.0304,4123781.82,0
135965,37.23967335,126.7740794,302556.2893,4123782.26,0
135971,37.23967729,126.7740822,302556.5451,4123782.691,0
135978,37.23968185,126.7740854,302556.8403,4123783.191,0
135984,37.23968612,126.7740881,302557.0977,4123783.658,0
135991,37.23969081,126.7740912,302557.3828,4123784.173,0
135998,37.23969524,126.7740941,302557.6519,4123784.658,0
136005,37.23969988,126.7740972,302557.934,4123785.167,0
136011,37.23970403,126.7740999,302558.1857,4123785.622,0
136016,37.2397084,126.7741027,302558.4498,4123786.1,0
136021,37.23971245,126.7741054,302558.6947,4123786.544,0
136024,37.23971655,126.774108,302558.9427,4123786.993,0
136029,37.23972103,126.774111,302559.2133,4123787.485,0
136033,37.23972517,126.7741136,302559.4624,4123787.938,0
136037,37.23972947,126.7741164,302559.7214,4123788.409,2
136041,37.23973397,126.7741194,302559.9919,4123788.903,0
136045,37.23973861,126.7741224,302560.2711,4123789.412,0
136049,37.2397436,126.7741256,302560.5713,4123789.958,0
136053,37.23974834,126.7741287,302560.8564,4123790.477,0
136058,37.23975312,126.7741318,302561.1455,4123791.002,0
136063,37.23975786,126.7741349,302561.4317,4123791.522,0
136068,37.2397621,126.7741376,302561.6863,4123791.986,0
136073,37.23976666,126.7741406,302561.9606,4123792.486,0
136078,37.23977119,126.7741435,302562.2348,4123792.983,0
136084,37.23977577,126.7741465,302562.5119,4123793.484,0
136090,37.23978064,126.7741497,302562.8074,4123794.019,0
136095,37.23978466,126.7741523,302563.0505,4123794.459,0
136099,37.23978883,126.7741551,302563.3021,4123794.915,0
136103,37.23979338,126.774158,302563.5768,4123795.414,0
